Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
New Zealand,94,94,95,95,96,96,96,94,93,94,93,95,90,91,91,91,90,89
Denmark,98,95,95,95,95,95,95,94,93,93,93,94,90,91,92,91,90,88
Finland,100,99,97,97,97,96,96,94,90,89,92,94,90,89,89,90,89,85
Norway,91,86,85,88,89,89,88,87,79,86,86,90,85,86,86,88,85,85
Switzerland,86,84,85,88,91,91,91,90,90,90,87,88,86,85,86,86,86,85
Singapore,91,92,93,94,93,94,94,93,92,92,93,92,87,86,84,85,84,84
Sweden,94,90,93,93,92,92,92,93,93,92,92,93,88,89,87,89,88,84
Canada,92,89,90,87,85,84,85,87,87,87,89,87,84,81,81,83,82,82
Luxembourg,86,87,90,87,84,85,86,84,83,82,85,85,80,80,82,85,81,82
Netherlands,89,88,90,89,87,86,87,90,89,89,88,89,84,83,83,84,83,82
United Kingdom,87,83,87,87,86,86,86,84,77,77,76,78,74,76,78,81,81,82
Germany,76,74,73,77,82,82,80,78,79,80,79,80,79,78,79,81,81,81
Australia,83,85,86,88,88,88,87,86,87,87,87,88,85,81,80,79,79,77
Hong Kong,77,79,82,80,80,83,83,83,81,82,84,84,77,75,74,75,77,77
Iceland,91,92,94,96,95,97,96,92,89,87,85,83,82,78,79,79,78,77
Austria,77,78,78,80,84,87,86,81,81,79,79,78,69,69,72,76,75,75
Belgium,61,66,71,76,75,74,73,71,73,71,71,75,75,75,76,77,77,75
United States of America,78,76,77,75,75,76,73,72,73,75,71,71,73,73,74,76,74,75
Ireland,72,75,69,75,75,74,74,75,77,80,80,75,69,72,74,75,73,74
Japan,64,71,71,70,69,73,76,75,73,77,78,80,74,74,76,75,72,73
Estonia,57,56,56,55,60,64,67,65,66,66,65,64,64,68,69,70,70,71
United Arab Emirates, , , ,52,61,62,62,57,59,65,63,68,68,69,70,70,66,71
France,67,67,63,69,71,75,74,73,69,69,68,70,71,71,69,70,69,70
Uruguay, ,51,51,55,62,59,64,67,69,67,69,70,72,73,73,74,71,70
Barbados, , , , ,73,69,67,69,70,74,78,78,76,75,74,,61,68
Bhutan, , , , , , ,60,50,52,50,57,57,63,63,65,65,65,67
Chile,74,75,75,74,74,73,73,70,69,67,72,72,72,71,73,70,66,67
Bahamas, , , , , , , , , , , ,73,71,71,71,,66,65
Portugal,64,63,63,66,63,65,66,65,61,58,60,61,63,62,63,64,62,63
Qatar, , , ,56,52,59,60,60,65,70,77,72,68,68,69,71,61,63
Taiwan,55,59,56,57,56,59,59,57,57,56,58,61,61,61,61,62,61,63
Brunei Darussalam, , , , , , , , , ,55,55,52,55,60,,,58,62
Israel,66,76,73,70,64,63,59,61,60,61,61,58,60,61,60,61,64,62
Botswana,60,60,64,57,60,59,56,54,58,56,58,61,65,64,63,63,60,61
Slovenia,55,52,60,59,60,61,64,66,67,66,64,59,61,57,58,60,61,61
Poland,41,41,40,36,35,34,37,42,46,50,53,55,58,60,61,63,62,60
Seychelles, , , , ,44,40,36,45,48,48,48,48,52,54,55,55,,60
Costa Rica,54,45,45,43,49,42,41,50,51,53,53,48,54,53,54,55,58,59
Lithuania,41,48,48,47,46,48,48,48,46,49,50,48,54,57,58,59,59,59
Latvia,34,34,37,38,40,42,47,48,50,45,43,42,49,53,55,56,57,58
Saint Vincent and the Grenadines, , , , , , , ,61,65,64, ,58,62,62,62,,60,58
Cyprus, , , ,61,54,57,56,53,64,66,63,63,66,63,63,61,55,57
Czech Republic,43,39,37,39,42,43,48,52,52,49,46,44,49,48,51,56,55,57
Dominica, , , , , , ,45,56,60,59,52,52,58,58,58,,59,57
Spain,70,70,71,69,71,70,68,67,65,61,61,62,65,59,60,58,58,57
Georgia, , ,24,18,20,23,28,34,39,41,38,41,52,49,52,52,57,56
Malta, , , , ,68,66,64,58,58,52,56,56,57,56,55,60,55,56
Cabo Verde, , , , , , , ,49,51,51,51,55,60,58,57,55,59,55
Rwanda, , , , , ,31,25,28,30,33,40,50,53,53,49,54,54,55
Saint Lucia, , , , , , , ,68,71,70, ,70,71,71,71,,60,55
"Korea, South",40,42,45,43,45,50,51,51,56,55,54,54,56,55,55,54,53,54
Grenada, , , , , , ,35,34, , , , ,,,,,56,52
Namibia,54,54,57,47,41,43,41,45,45,45,44,44,48,48,49,53,52,51
Italy,46,55,52,53,48,50,49,52,48,43,39,39,42,43,43,44,47,50
Mauritius,47,45,45,44,41,42,51,47,55,54,54,51,57,52,54,53,54,50
Slovakia,35,37,37,37,40,43,47,49,50,45,43,40,46,47,50,51,51,50
Croatia,37,39,38,37,35,34,34,41,44,41,41,40,46,48,48,51,49,49
Saudi Arabia, , , ,45,34,34,33,34,35,43,47,44,44,46,49,52,46,49
Greece,49,42,42,43,43,43,44,46,47,38,35,34,36,40,43,46,44,48
Jordan,46,49,45,46,53,57,53,47,51,50,47,45,48,45,49,53,48,48
Romania,29,28,26,28,29,30,31,37,38,38,37,36,44,43,43,46,48,48
Cuba, , , ,46,37,38,35,42,43,44,37,42,48,46,46,47,47,47
Malaysia,48,50,49,52,50,51,50,51,51,45,44,43,49,50,52,50,49,47
Montenegro, , , , , ,28, ,33,34,39,37,40,41,44,42,44,45,46
Sao Tome and Principe, , , , , , , ,27,27,28,30,30,42,42,42,42,46,46
Hungary,52,53,49,48,48,50,52,53,51,51,47,46,55,54,54,51,48,45
Senegal,35,29,31,32,30,32,33,36,34,30,29,29,36,41,43,44,45,45
Belarus,41, ,48,42,33,26,21,21,20,24,25,24,31,29,31,32,40,44
Jamaica, , ,40,38,33,36,37,33,31,30,33,33,38,38,38,41,39,44
Oman, , , ,63,61,63,54,47,55,55,53,48,47,47,45,45,45,44
Bulgaria,35,39,40,39,41,40,40,41,36,38,36,33,41,41,43,41,41,43
South Africa,50,48,48,44,46,45,46,51,49,47,45,41,43,42,44,44,45,43
Vanuatu, , , , , , , ,31,29,32,36,35,,,,,,43
Burkina Faso,30, , , , ,34,32,29,35,36,31,30,38,38,38,38,42,42
Lesotho, , , , , ,34,32,33,32,33,35,35,45,49,49,44,39,42
Tunisia,52,53,48,49,50,49,46,42,44,42,43,38,41,41,40,38,41,42
China,31,35,35,34,34,32,33,35,36,36,35,36,39,40,36,37,40,41
Serbia, , , ,23,27,28,30,34,34,35,35,33,39,42,41,40,42,41
Suriname, , , , ,43,32,30,35,36,37, ,30,37,36,36,36,45,41
Trinidad and Tobago, ,53,49,46,42,38,32,34,36,36,36,32,39,38,38,39,35,41
Ghana,35,34,39,33,36,35,33,37,39,39,41,39,45,46,48,47,43,40
India,28,27,27,28,28,29,33,35,34,34,33,31,36,36,38,38,40,40
Morocco,47, ,37,33,32,32,32,35,35,33,34,34,37,37,39,36,37,40
Turkey,38,36,32,31,32,35,38,41,46,44,44,42,49,50,45,42,41,40
Argentina,35,35,28,25,25,28,29,29,29,29,29,30,35,34,34,32,36,39
Benin, , , , ,32,29,25,27,31,29,28,30,36,36,39,37,36,39
Kosovo, , , , , , , , , , ,28,29,34,33,33,33,36,39
Kuwait, , , ,53,46,47,48,43,43,41,45,46,44,43,44,49,41,39
Solomon Islands, , , , , , , ,28,29,28,28,27,,,,,42,39
Swaziland, , , , , ,27,25,33,36,36,32,31,37,39,43,,,39
Albania, , ,25,25,25,24,26,29,34,32,33,31,33,31,33,36,39,38
Bosnia and Herzegovina, , , ,33,31,29,29,33,32,30,32,32,42,42,39,38,39,38
Guyana, , , , , ,25,25,26,26,26,27,25,28,27,30,29,34,38
Sri Lanka, , ,37,34,35,32,31,32,32,31,32,33,40,37,38,37,36,38
Timor-Leste, , , , , , ,26,26,22,22,25,24,33,30,28,28,35,38
Brazil,39,40,40,39,39,37,33,35,35,37,37,38,43,42,43,38,40,37
Colombia,32,38,36,37,38,40,39,38,38,37,35,34,36,36,37,37,37,37
Indonesia,17,19,19,19,20,22,24,23,26,28,28,30,32,32,34,36,37,37
Panama, ,37,30,34,37,35,31,32,34,34,36,33,38,35,37,39,38,37
Peru,44,41,40,37,35,35,33,35,36,37,35,34,38,38,38,36,35,37
Thailand,32,32,32,33,36,38,36,33,35,34,35,34,37,35,38,38,35,37
Zambia,34,26,26,25,26,26,26,26,28,30,30,32,37,38,38,38,38,37
Bahrain, , , ,61,58,58,57,50,54,51,49,51,51,48,49,51,43,36
Côte D'Ivoire,27,24,27,21,20,19,21,21,20,21,22,22,29,27,32,32,34,36
Mongolia, , , , ,30,30,28,30,30,27,27,27,36,38,39,39,38,36
Tanzania,25,22,27,25,28,29,29,32,30,26,27,30,35,33,31,30,32,36
Armenia,25, , ,30,31,29,29,30,29,27,26,26,34,36,37,35,33,35
Ethiopia,32, ,35,25,23,22,24,24,26,27,27,27,33,33,33,33,34,35
Macedonia, , , ,23,27,27,27,33,36,38,41,39,43,44,45,42,37,35
Vietnam,25,26,24,24,26,26,26,26,27,27,27,29,31,31,31,31,33,35
Philippines,28,29,26,25,26,25,25,25,23,24,24,26,34,36,38,35,35,34
Algeria, , , ,26,27,28,31,30,32,28,29,29,34,36,36,36,34,33
Bolivia,27,20,22,23,22,25,27,29,30,27,28,28,34,34,35,34,33,33
El Salvador,41,36,34,37,42,42,40,40,39,34,36,34,38,38,39,39,36,33
Maldives, , , , , , , ,33,28,25,23,25,,,,,36,33
Niger, , , , ,22,24,23,26,28,29,26,25,33,34,35,34,35,33
Ecuador,26,23,22,22,24,25,23,21,20,22,25,27,32,35,33,32,31,32
Egypt,31,36,34,33,32,34,33,29,28,28,31,29,32,32,37,36,34,32
Gabon, , , , ,33,29,30,33,31,29,28,30,35,34,37,34,35,32
Pakistan, ,23,26,25,21,21,22,24,25,24,23,25,27,28,29,30,32,32
Togo, , , , , , ,24,23,27,28,24,24,30,29,29,32,32,32
Azerbaijan,15,20,20,18,19,22,24,21,19,23,24,24,27,28,29,29,30,31
Djibouti, , , , , , , ,29,30,28,32,30,36,36,34,34,30,31
Kazakhstan,30,27,23,24,22,26,26,21,22,27,29,27,28,26,29,28,29,31
Liberia, , , , , ,22, ,21,24,31,33,32,41,38,37,37,37,31
Malawi,41,32,29,28,28,28,27,27,28,33,34,30,37,37,33,31,31,31
Mali, , , ,30,32,29,28,27,31,28,27,28,34,28,32,35,32,31
Nepal, , , , ,28,25,25,25,27,23,22,22,27,31,29,27,29,31
Moldova,26,31,21,24,23,29,32,28,29,33,29,29,36,35,35,33,30,31
Gambia, , , ,25,28,27,25,23,19,29,32,35,34,28,29,28,26,30
Iran, , , ,30,29,29,27,25,23,18,22,27,28,25,27,27,29,30
Myanmar, , , ,16,17,18,19,14,13,14,14,15,15,21,21,22,28,30
Sierra Leone, , , ,22,23,24,22,21,19,22,24,25,31,30,31,29,30,30
Ukraine,15,21,24,23,22,26,28,27,25,22,24,23,26,25,26,27,29,30
Dominican Republic, ,31,35,33,29,30,28,30,30,30,30,26,32,29,32,33,31,29
Honduras, ,27,27,23,23,26,25,25,26,25,24,26,28,26,29,31,30,29
Kyrgyzstan, , , ,21,22,23,22,21,18,19,20,21,24,24,27,28,28,29
Laos, , , , , ,33,26,19,20,20,21,22,21,26,25,25,30,29
Mexico,33,37,36,36,36,35,33,35,36,33,31,30,34,34,35,31,30,29
Papua New Guinea, , , ,21,26,23,24,20,20,21,21,22,25,25,25,25,28,29
Paraguay, , ,17,16,19,21,26,24,24,21,22,22,25,24,24,27,30,29
Russia,21,23,27,27,28,24,25,23,21,22,21,24,28,28,27,29,29,29
Bangladesh, ,4,12,13,15,17,20,20,21,24,24,27,26,27,25,25,26,28
Guatemala, ,29,25,24,22,25,26,28,31,34,32,27,33,29,32,28,28,28
Kenya,21,20,19,19,21,21,22,21,21,22,21,22,27,27,25,25,26,28
Lebanon, , , ,30,27,31,36,30,30,25,25,25,30,28,27,28,28,28
Mauritania, , , , , , ,31,26,28,25,23,24,31,30,30,31,27,28
Comoros, , , , , , , ,26,25,23,21,24,28,28,26,26,24,27
Guinea, , , , , , ,19,19,16,18,20,21,24,24,25,25,27,27
Nigeria,12,10,16,14,16,19,22,22,27,25,24,24,27,25,27,26,28,27
Nicaragua, ,24,25,26,27,26,26,26,25,25,25,25,29,28,28,27,26,26
Uganda,23,19,21,22,26,25,27,28,26,25,25,24,29,26,26,25,25,26
Cameroon,20,20,22,18,21,22,23,24,23,22,22,25,26,25,27,27,26,25
Mozambique,22, , ,27,28,28,28,28,26,25,27,27,31,30,31,31,27,25
Madagascar, , ,17,26,31,28,31,32,34,30,26,30,32,28,28,28,26,24
Central African Republic, , , , , , ,24,20,20,20,21,22,26,25,24,24,20,23
Burundi, , , , , ,23,24,25,19,18,18,19,19,21,20,21,20,22
Haiti, , ,22,15,15,18,18,16,14,18,22,18,19,19,19,17,20,22
Uzbekistan,24,27,29,24,23,22,21,17,18,17,16,16,17,17,18,19,21,22
Zimbabwe,30,29,27,23,23,26,24,21,18,22,24,22,20,21,21,21,22,22
Cambodia, , , , , ,23,21,20,18,20,21,21,22,20,21,21,21,21
Congo, , , , ,23,23,22,21,19,19,21,22,26,22,23,23,20,21
Democratic Republic of the Congo, , , ,22,20,21,20,19,17,19,20,20,21,22,22,22,21,21
Tajikistan, , , ,18,20,21,22,21,20,20,21,23,22,22,23,26,25,21
Chad, , , , ,17,17,20,18,16,16,17,20,19,19,22,22,20,20
Eritrea, , , , ,26,26,29,28,26,26,26,25,25,20,18,18,18,20
Angola,17, ,17,18,20,20,22,22,19,19,19,20,22,23,19,15,18,19
Turkmenistan, , , , ,20,18,22,20,18,18,16,16,17,17,17,18,22,19
Iraq, , , ,22,21,22,19,15,13,15,15,18,18,16,16,16,17,18
Venezuela,27,28,25,24,23,23,23,20,19,19,20,19,19,20,19,17,17,18
"Korea, North", , , , , , , , , , , ,10,8,8,8,8,12,17
Equatorial Guinea, , , , , ,19,21,19,17,18,19,19,20,19,,,,17
Guinea Bissau, , , , , , , ,22,19,19,21,22,25,19,19,17,16,17
Libya, , , ,21,25,25,27,25,26,25,22,20,21,15,18,16,14,17
Sudan, , , ,23,22,21,20,18,16,15,16,16,13,11,11,12,14,16
Yemen, , , ,26,24,27,26,25,23,21,22,21,23,18,19,18,14,16
Afghanistan, , , , , ,25, ,18,15,13,14,15,8,8,12,11,15,15
Syria, , , ,34,34,34,29,24,21,26,25,26,26,17,20,18,13,14
South Sudan, , , , , , , , , , , , ,,14,15,15,11,12
Somalia, , , , , ,21, ,14,10,11,11,10,8,8,8,8,10,9
